"id","ticker_id","ticker","value","lowvalue","highvalue","change","percentage","sectorid","timestamp","timeCreated"
"13","35622251","aspi","22931.1700","22864.0800","22932.2400","67.0900","0.2934","1","2026-01-04 23:00:50.995","2026-01-04 23:00:39.298"
"14","35622220","sl20","6199.0000","6186.0900","6199.0000","12.9100","0.2087","40","2026-01-04 23:00:34.399","2026-01-04 23:00:39.298"
"15","35625523","aspi","23019.3700","22864.0800","23024.1100","155.2900","0.6792","1","2026-01-05 00:00:38.851","2026-01-05 00:00:39.155"
"16","35625522","sl20","6219.6200","6186.0900","6241.3800","33.5300","0.5420","40","2026-01-05 00:00:38.399","2026-01-05 00:00:39.155"
"17","35627985","aspi","23000.9500","22864.0800","23027.9100","136.8700","0.5986","1","2026-01-05 01:00:49.549","2026-01-05 01:00:39.566"
"18","35627977","sl20","6216.2200","6186.0900","6241.3800","30.1300","0.4871","40","2026-01-05 01:00:49.152","2026-01-05 01:00:39.566"
"19","35629858","aspi","23008.8900","22864.0800","23027.9100","144.8100","0.6334","1","2026-01-05 02:00:37.583","2026-01-05 02:00:39.319"
"20","35629844","sl20","6216.3900","6186.0900","6241.3800","30.3000","0.4898","40","2026-01-05 02:00:22.399","2026-01-05 02:00:39.319"
"21","35631868","aspi","22985.6500","22864.0800","23027.9100","121.5700","0.5317","1","2026-01-05 03:00:56.15","2026-01-05 03:00:40.303"
"22","35631863","sl20","6226.8700","6186.0900","6241.3800","40.7800","0.6592","40","2026-01-05 03:00:56.153","2026-01-05 03:00:40.303"
"23","35634325","aspi","23037.3500","22864.0800","23044.0000","173.2700","0.7578","1","2026-01-05 04:00:07.761","2026-01-05 04:00:39.1"
"24","35634310","sl20","6237.3500","6186.0900","6244.9700","51.2600","0.8286","40","2026-01-05 03:59:56.399","2026-01-05 04:00:39.1"
"25","35634482","aspi","23091.6300","23014.7500","23091.6300","76.8800","0.3340","1","2026-01-05 23:00:48.861","2026-01-05 23:00:39.139"
"26","35634459","sl20","6261.2900","6227.4400","6261.2900","33.8500","0.5436","40","2026-01-05 23:00:32.595","2026-01-05 23:00:39.139"
"27","35637256","aspi","23129.3900","23014.7500","23140.1000","114.6400","0.4981","1","2026-01-06 00:00:46.336","2026-01-06 00:00:39.124"
"28","35637255","sl20","6274.1800","6227.4400","6278.4500","46.7400","0.7505","40","2026-01-06 00:00:46.148","2026-01-06 00:00:39.124"
"29","35639649","aspi","23194.9000","23014.7500","23195.0700","180.1500","0.7828","1","2026-01-06 01:00:45.057","2026-01-06 01:00:40.443"
"30","35639627","sl20","6294.2900","6227.4400","6294.2900","66.8500","1.0735","40","2026-01-06 01:00:08.595","2026-01-06 01:00:40.443"
"31","35641970","aspi","23211.6800","23014.7500","23214.4600","196.9300","0.8557","1","2026-01-06 02:00:47.275","2026-01-06 02:00:39.276"
"32","35641955","sl20","6310.9300","6227.4400","6310.9300","83.4900","1.3407","40","2026-01-06 02:00:35.595","2026-01-06 02:00:39.276"
"33","35644422","aspi","23266.7400","23014.7500","23280.5200","251.9900","1.0949","1","2026-01-06 03:00:42.058","2026-01-06 03:00:39.107"
"34","35644410","sl20","6362.8300","6227.4400","6362.8300","135.3900","2.1741","40","2026-01-06 03:00:20.596","2026-01-06 03:00:39.107"
"35","35647301","aspi","23325.3800","23014.7500","23340.6700","310.6300","1.3497","1","2026-01-06 03:59:59.813","2026-01-06 04:00:39.171"
"36","35647309","sl20","6379.1100","6227.4400","6383.4100","151.6700","2.4355","40","2026-01-06 04:00:31.595","2026-01-06 04:00:39.171"
"37","35647311","aspi","23292.9100","23014.7500","23340.6700","278.1600","1.2086","1","2026-01-06 04:18:17.895","2026-01-06 05:00:39.164"
"38","35647309","sl20","6379.1100","6227.4400","6383.4100","151.6700","2.4355","40","2026-01-06 04:00:31.595","2026-01-06 05:00:39.164"
"39","35647479","aspi","23385.9500","23292.9100","63361.8600","93.0400","0.3994","1","2026-01-06 23:00:37.539","2026-01-06 23:00:39.146"
"40","35647456","sl20","6387.8900","6363.8500","6387.8900","24.0400","0.3778","40","2026-01-06 23:00:33.372","2026-01-06 23:00:39.146"
